學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,男生計,女生計,總計
1,國立政治大學,140101,教育學系,D 日,D 博士,13,7,9,7,10,6,11,6,7,6,2,6,1,2,0,0,30 臺北市,1 一般,53,40,93
1,國立政治大學,140101,教育學系,D 日,M 碩士,3,12,1,9,0,4,1,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,5,29,34
1,國立政治大學,140101,教育學系,D 日,B 學士,18,42,22,44,20,37,16,32,0,0,0,0,0,0,9,10,30 臺北市,1 一般,85,165,250
1,國立政治大學,140203,華語文教學博士學位學程,D 日,D 博士,0,3,1,1,0,4,0,5,0,2,0,1,0,1,0,0,30 臺北市,1 一般,1,17,18
1,國立政治大學,140203,華語文教學碩士學位學程,D 日,M 碩士,2,13,2,11,3,8,2,14,0,0,0,0,0,0,0,0,30 臺北市,1 一般,9,46,55
1,國立政治大學,140218,國文教學碩士在職專班,N 職,M 碩士,5,16,2,25,2,16,1,14,1,7,0,0,0,0,0,0,30 臺北市,1 一般,11,78,89
1,國立政治大學,140219,數學教學碩士在職專班,N 職,M 碩士,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,30 臺北市,1 一般,1,4,5
1,國立政治大學,140401,幼兒教育研究所,D 日,M 碩士,2,12,0,13,1,5,1,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般,4,35,39
1,國立政治大學,140701,教育行政與政策研究所,D 日,M 碩士,3,7,4,12,3,5,2,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般,12,29,41
1,國立政治大學,140709,學校行政碩士在職專班,N 職,M 碩士,9,12,7,16,10,15,1,6,4,3,0,0,0,0,0,0,30 臺北市,1 一般,31,52,83
1,國立政治大學,220101,台灣文學研究所,D 日,D 博士,1,3,0,0,0,2,1,2,0,1,2,1,0,0,0,0,30 臺北市,1 一般,4,9,13
1,國立政治大學,220101,台灣文學研究所,D 日,M 碩士,3,9,2,7,3,5,3,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般,11,27,38
1,國立政治大學,220201,中國文學系,D 日,D 博士,2,11,5,7,5,5,4,9,5,4,4,2,4,2,0,0,30 臺北市,1 一般,29,40,69
1,國立政治大學,220201,中國文學系,D 日,M 碩士,11,7,7,15,12,9,8,17,0,0,0,0,0,0,0,0,30 臺北市,1 一般,38,48,86
1,國立政治大學,220201,中國文學系,D 日,B 學士,19,64,21,64,22,64,28,56,0,0,0,0,0,0,4,23,30 臺北市,1 一般,94,271,365
1,國立政治大學,220307,英國語文學系,D 日,D 博士,2,1,2,2,4,3,1,1,2,3,0,2,2,2,0,0,30 臺北市,1 一般,13,14,27
1,國立政治大學,220307,英國語文學系,D 日,M 碩士,2,10,4,13,2,10,7,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般,15,42,57
