學校代碼,學校名稱,科系代碼,科系名稱,日間_進修別,等級別,上學年畢業生男,上學年畢業生女,縣市名稱,體系別
0001,國立政治大學,140101,教育學系,D日,D博士,6,2,30臺北市,1一般
0001,國立政治大學,140101,教育學系,D日,M碩士,0,10,30臺北市,1一般
0001,國立政治大學,140101,教育學系,D日,B學士,15,34,30臺北市,1一般
0001,國立政治大學,140203,華語文教學碩士學位學程,D日,M碩士,2,14,30臺北市,1一般
0001,國立政治大學,140218,國文教學碩士在職專班,N職,M碩士,1,17,30臺北市,1一般
0001,國立政治大學,140401,幼兒教育研究所,D日,M碩士,0,11,30臺北市,1一般
0001,國立政治大學,140701,教育行政與政策研究所,D日,M碩士,4,6,30臺北市,1一般
0001,國立政治大學,140709,學校行政碩士在職專班,N職,M碩士,8,13,30臺北市,1一般
0001,國立政治大學,220101,台灣文學研究所,D日,M碩士,2,7,30臺北市,1一般
0001,國立政治大學,220201,中國文學系,D日,D博士,5,4,30臺北市,1一般
0001,國立政治大學,220201,中國文學系,D日,M碩士,8,12,30臺北市,1一般
0001,國立政治大學,220201,中國文學系,D日,B學士,18,62,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,D日,D博士,1,3,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,D日,M碩士,4,8,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,D日,B學士,7,61,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,N職,M碩士,1,6,30臺北市,1一般
0001,國立政治大學,220320,日本語文學系,D日,M碩士,4,4,30臺北市,1一般
0001,國立政治大學,220320,日本語文學系,D日,B學士,13,29,30臺北市,1一般
0001,國立政治大學,220322,阿拉伯語文學系,D日,B學士,9,16,30臺北市,1一般
0001,國立政治大學,220324,韓國語文學系,D日,M碩士,0,2,30臺北市,1一般
0001,國立政治大學,220324,韓國語文學系,D日,B學士,2,34,30臺北市,1一般
0001,國立政治大學,220326,土耳其語文學系,D日,B學士,4,17,30臺北市,1一般
0001,國立政治大學,220327,歐洲語文學系,D日,B學士,19,40,30臺北市,1一般
0001,國立政治大學,220333,斯拉夫語文學系,D日,M碩士,1,2,30臺北市,1一般
0001,國立政治大學,220333,斯拉夫語文學系,D日,B學士,13,21,30臺北市,1一般
0001,國立政治大學,220701,語言學研究所,D日,D博士,0,1,30臺北市,1一般
0001,國立政治大學,220701,語言學研究所,D日,M碩士,3,10,30臺北市,1一般
0001,國立政治大學,220801,宗教研究所,D日,M碩士,4,5,30臺北市,1一般
0001,國立政治大學,220901,歷史學系,D日,D博士,3,0,30臺北市,1一般
0001,國立政治大學,220901,歷史學系,D日,M碩士,4,3,30臺北市,1一般
0001,國立政治大學,220901,歷史學系,D日,B學士,15,21,30臺北市,1一般
0001,國立政治大學,220903,台灣史研究所,D日,D博士,1,0,30臺北市,1一般
0001,國立政治大學,220903,台灣史研究所,D日,M碩士,8,5,30臺北市,1一般
0001,國立政治大學,221101,哲學系,D日,D博士,2,2,30臺北市,1一般
0001,國立政治大學,221101,哲學系,D日,M碩士,3,1,30臺北市,1一般
0001,國立政治大學,221101,哲學系,D日,B學士,14,17,30臺北市,1一般
0001,國立政治大學,310101,經濟學系,D日,D博士,2,1,30臺北市,1一般
0001,國立政治大學,310101,經濟學系,D日,M碩士,21,10,30臺北市,1一般
0001,國立政治大學,310101,經濟學系,D日,B學士,55,49,30臺北市,1一般
0001,國立政治大學,310201,政治學系,D日,D博士,3,0,30臺北市,1一般
0001,國立政治大學,310201,政治學系,D日,M碩士,7,2,30臺北市,1一般
0001,國立政治大學,310201,政治學系,D日,B學士,19,26,30臺北市,1一般
0001,國立政治大學,310207,國際事務學院國家安全與大陸研究碩士在職專班,N職,M碩士,20,1,30臺北市,1一般
0001,國立政治大學,310301,社會學系,D日,D博士,2,2,30臺北市,1一般
0001,國立政治大學,310301,社會學系,D日,M碩士,1,9,30臺北市,1一般
0001,國立政治大學,310301,社會學系,D日,B學士,13,30,30臺北市,1一般
0001,國立政治大學,310401,民族學系,D日,D博士,4,1,30臺北市,1一般
0001,國立政治大學,310401,民族學系,D日,M碩士,2,3,30臺北市,1一般
0001,國立政治大學,310401,民族學系,D日,B學士,6,25,30臺北市,1一般
0001,國立政治大學,310501,心理學系,D日,D博士,1,1,30臺北市,1一般
0001,國立政治大學,310501,心理學系,D日,M碩士,8,7,30臺北市,1一般
0001,國立政治大學,310501,心理學系,D日,B學士,18,22,30臺北市,1一般
0001,國立政治大學,310506,輔導與諮商碩士學位學程,D日,M碩士,2,5,30臺北市,1一般
0001,國立政治大學,310702,東亞研究所,D日,D博士,4,7,30臺北市,1一般
0001,國立政治大學,310702,東亞研究所,D日,M碩士,10,6,30臺北市,1一般
0001,國立政治大學,310705,日本研究碩士學位學程,D日,M碩士,0,6,30臺北市,1一般
0001,國立政治大學,310709,俄羅斯研究所,D日,M碩士,3,8,30臺北市,1一般
0001,國立政治大學,310728,亞太研究英語博士學位學程,D日,D博士,1,2,30臺北市,1一般
0001,國立政治大學,310728,亞太研究英語碩士學位學程,D日,M碩士,13,15,30臺北市,1一般
0001,國立政治大學,310801,公共行政學系,D日,D博士,2,2,30臺北市,1一般
0001,國立政治大學,310801,公共行政學系,D日,M碩士,9,22,30臺北市,1一般
0001,國立政治大學,310801,公共行政學系,D日,B學士,8,31,30臺北市,1一般
0001,國立政治大學,310804,行政管理碩士學程,N職,M碩士,23,33,30臺北市,1一般
0001,國立政治大學,310811,地政學系,D日,D博士,1,1,30臺北市,1一般
0001,國立政治大學,310811,地政學系,D日,M碩士,12,17,30臺北市,1一般
0001,國立政治大學,310811,地政學系,D日,B學士,47,58,30臺北市,1一般
